name,jingzichan_x,zhichu_x,shouru_x,feiyong_x
江苏元林慈善基金会,1167848079,0.259843048,0.259922224,0.259843048
江苏华夏慈善基金会,4149901.52,0.092087605,0.023497632,0.091362869
江苏国信企业发展研究基金会,91217063.53,0.048311469,0.053196661,0.048316134
江苏宏大青少年人才发展基金会,22772219.99,0.108670285,0.060516782,0.108670285
江苏宏德文化出版基金会,3155667.23,1.008614698,0.994265146,1.008646387
江苏昌明教育基金会,10080077.69,1.597240019,1.44911118,1.597240315
江苏沙钢公益基金会,41521926.35,0.209689175,0.219488619,0.209688405
江苏海澜教育发展基金会,277630176.8,0.094568108,0.037329846,0.094653097
江苏省儿童少年福利基金会,92469273.87,0.529569434,0.640758584,0.528724691
江苏省关心下一代基金会,105103156.6,0.070781488,0.146660304,0.105324478
江苏省扬州中学教育发展基金会,32691114.22,0.157501692,0.325710451,0.157501692
江苏省扶贫基金会,81493574.89,0.131338359,0.166029248,0.131363631
江苏省美德基金会,121145668.2,0.088003185,0.098741439,0.088003185
江苏省青少年发展基金会,85710387.73,0.477298074,0.748858269,0.477298074
江苏言恭达文化基金会,5260936.44,0.716186695,0.641371687,0.716186695
江苏长江平民教育基金会,26417853.31,0.088374168,0.211990647,0.088374168
江苏陶欣伯助学基金会,2419670297,0.026234206,0.433719877,0.026263482
江西师范大学教育发展基金会,19079263.81,0.407430495,0.818638847,0.40745192
江西省体育发展基金会,6052845.26,1.095787554,1.397766323,1.095787554
江西省革命老区爱心基金会,22323873.47,0.46662698,0.408328535,0.484219701
沈阳市职工爱心慈善基金会,109650938.7,0.255063829,0.301802164,0.255063829
河仁慈善基金会,7352610084,0.078251443,0.07070432,0.078251443
河北省佛教慈善基金会,26392740.95,0.633149927,0.744599551,0.632227881
河北省妇女儿童发展基金会,20135548.18,0.671273972,0.801508494,0.671273972
河北省红十字基金会,43316867.81,0.875679663,0.846944734,0.875679663
河北省青年就业创业基金会,16782968.03,0.514884542,0.535245503,0.514884542
河北石家庄二中教育发展基金会,8645085.41,0.376169717,0.364895563,0.376169717
河南大学教育发展基金会,120403012.5,0.113361021,0.178356805,0.113361021
河南省儿童希望救助基金会,16164243.59,1.531701541,1.643446599,1.531701541
河南省光彩事业基金会,155210574.1,1.592316978,1.355553373,1.59233867
河南省华夏历史文明传承创新基金会,17618159.86,0.063273279,0.073125923,0.063291839
河南省宋庆龄基金会,2268847122,1.466639143,0.213835159,1.466639143
河南省福兴儿童公益基金会,6490214.22,0.33922712,0.411306362,0.374134349
河南足球事业发展基金会,17176587.83,7.492829813,7.496084212,7.492829813
泉州向善救助基金会,4286479.2,0.424969747,0.289973037,0.424969747
泛海公益基金会,600271424.3,0.278036688,0.278259975,0.278036688
泸州市关心下一代基金会,16882531.55,0.295355746,0.375524502,0.295355746
洪泽县爱心助学基金会,645700,0.881369057,1.185535078,0.881369057
济南大学教育发展基金会,10936450.68,0.145914894,0.455949791,0.145914894
浙江中国计量学院教育基金会,10084047.92,0.092166086,0.282207335,0.092167078
