name,target
上海荣昶公益基金会,直接登记
四川喜马拉雅慈善基金会,直接登记
浙江天景生公益基金会,直接登记
北京绿色阳光环保公益基金会,直接登记
广州农商银行太阳公益基金会,
湖南践行国学公益基金会,湖南省民政厅
德阳市关心下一代基金会,四川省关心下一代工作委员会
北京京东公益基金会,无
四川省索玛慈善基金会,四川省民政厅
福建省安发高益槐科技教育发展基金会,福建省民政厅
广东省同心圆慈善基金会,广东省人民政府相关职能部门
北京阳光未来艺术教育基金会,直接登记
北京市光明慈善基金会,直接登记
上海叔同深渊科学技术发展基金会,
上海至美公益基金会,直接登记
上海王正国创伤医学发展基金会,直接登记
上海科技大学教育发展基金会,直接登记
上海乐三兰馨教育发展基金会,直接登记
浙江马云公益基金会,浙江省民政厅
武汉大学姚梅镇法学基金会,湖北省教育厅
巨人慈善基金会,民政部
浙江湖畔大学创业研究基金会,浙江省民政厅
黑龙江省哈尔滨妇女儿童基金会,黑龙江省妇女联合会
厦门外国语学校教育基金会,直接登记
上海觉群文教基金会,
北京老牛兄妹公益基金会,直接登记
宁波市善园公益基金会,直接登记
中天爱心慈善基金会,民政部
武汉科技大学教育发展基金会,湖北省教育厅
北京白求恩公益基金会,北京市民政局
北京市银杏公益基金会,北京市民政局
北京麦田慈善基金会,北京市民政局
内蒙古光彩事业基金会,直接登记
晋江市安海中心小学种胜教育基金会,晋江市民政局
东润公益基金会,民政部
广东省广铝公益基金会,广东省人民政府相关职能部门
