基金会名称,净资产,总支出,总收入,费用合计,label
北京天使妈妈慈善基金会,22721165.55,61087178.05,45329236.36,61087178.05,8
北京妇女儿童发展基金会,31090156.4,45495800.9,43066759.44,45495800.9,8
北京尚善公益基金会,12615248.58,5499030.98,8083440.05,5499030.98,7
北京工业大学教育基金会,23984208.26,2909166.34,5484295.05,2909166.34,6
北京工商大学教育基金会,13596226.13,3702440.5,3161688.22,3702440.5,0
北京市中国人民大学教育基金会,1533858350,304646092.9,452147962.1,304646092.9,6
北京市仁爱慈善基金会,27037610.72,17595068.58,23882097.24,17595068.58,1
北京市企业家环保基金会,65810342.64,123614958.3,150876630.8,161094461,8
北京市光明慈善基金会,3969634.15,663478.65,2640865.3,663478.65,4
北京市壹嘉壹慈善基金会,5761546.85,513275.43,2563586.13,513275.43,4
北京市希望公益基金会,23222746.76,13364755.88,15765416.62,12819755.88,5
北京市戈友公益援助基金会,15221982.3,6692996.14,9268330.05,6692996.14,7
北京市戏曲艺术发展基金会,256812822.5,22928875.68,21463018.14,22928875.68,2
北京市搜候中国城市文化基金会,247382367.6,38069706.93,137454746.4,36929734.96,4
北京市永源公益基金会,23667366.66,26921836.73,35031478.85,26874900.19,1
北京市美疆助学基金会,167431649.9,16224531.43,27719497.91,16224531.43,6
北京市西部阳光农村发展基金会,51354539.87,44576955.68,51413001.16,43986850.58,1
北京市银杏公益基金会,8554203.12,1119196.56,9673399.68,1119196.56,3
北京市长江科技扶贫基金会,125834974.2,54676413.75,35579881.71,54484296.79,0
北京市阳光保险爱心基金会,13265157.46,21338923.9,22997421.43,21338923.9,8
北京市鸿儒金融教育基金会,175942119.1,32874199.48,35476314.66,32874199.48,6
北京康盟慈善基金会,10987128.5,84924006.49,87224960.76,83820412.48,8
北京彩虹公益基金会,6994484.39,4744352.15,6910747.87,4744352.15,1
北京怡海公益基金会,11504435.21,3185747.52,3892541.29,3185747.52,0
北京感恩公益基金会,8771470.75,17984207.18,16757502.96,17984207.18,8
北京文化发展基金会,44284533.76,26569098.81,22749223.68,26147608.94,5
北京新阳光慈善基金会,39565974.45,46886806.99,68062253.4,45983570.41,1
北京民生文化艺术基金会,47917963.53,281479777.8,273842897.6,281479777.8,8
北京水源保护基金会,23216083.46,18263006.95,17691777.66,18244641.62,5
北京永真公益基金会,11138818.69,8116734.25,14859183.87,8116734.25,1
北京永青农村发展基金会,6022225.88,33407866.4,35416293.95,33407866.4,8
北京爱它动物保护公益基金会,8315367.33,20835349.82,22244042.26,20835349.82,8
北京瑞普华老年救助基金会,5448216.24,2381587.7,2219697.53,2381587.7,0
北京电影学院教育基金会,101808099.1,12080808.45,64185213.47,12080808.45,4
北京白求恩公益基金会,2001859.95,27473325.77,29475185.72,27473325.77,8
北京百度公益基金会,65538571.44,47547007.04,46023412.71,47547007.04,5
北京科技大学教育发展基金会,145744504.1,29273769.25,70769875.44,36030446.72,4
北京绿化基金会,41430072.61,14832172.82,21282968.16,14985628.82,7
北京绿色阳光环保公益基金会,4289630.42,72918.8,2362549.22,72918.8,4
北京联想控股公益基金会,9837282.61,21398698.66,23460377.03,21398698.66,8
北京节能与电力技术开发基金会,25196861.01,813521.68,854895.52,813521.68,2
北京萤火虫爱心公益基金会,6417350.02,348484.65,2609824,348484.65,4
北京语言大学教育基金会,13623037.73,2592765.07,10601951.77,2592765.07,3
北京达理公益基金会,12818289.16,48484154.97,48571669.43,48484154.97,8
北京金融街慈善基金会,42140937.08,6632936.2,26228829.23,6632936.2,4
北京阳光未来艺术教育基金会,9578678.83,3044683.1,10656759.74,3044683.1,3
北京青少年发展基金会,243871067.2,115346547.6,137461583.6,115346547.6,5
北京麦田慈善基金会,2000000,0,2000000,0,3
北海天宁慈善基金会,5362754.12,1329620.5,679564.61,1165726,6
华中科技大学教育发展基金会,414877846.3,40941948.2,81634791.78,40941948.2,6
华民慈善基金会,167484565.5,77267454.37,6945400.92,77267454.37,0
华润慈善基金会,363709204.5,601965014.3,554997805.7,602402485.3,8
华阳慈善基金会,181884590.7,310193408.8,213392336.6,310193408.8,8
南京信息大学教育发展基金会,364544521.2,85787945.5,2081229.63,85792956,2
南京大学教育发展基金会,2632701338,303945544.6,484161371.8,303945544.6,6
南京工业大学教育发展基金会,253502648.5,91971065.49,45137011.86,91972797.59,0
南京市中小学幼儿教师奖励基金会,49286433.3,4538766,9917347.69,4538766,6
南京新城市慈善基金会,3907868.54,5018877.17,5630000,5019929.18,1
南京金鹰国际慈济基金会,48943809.79,4524461.37,1969035,4524471.8,2
南昌市汇仁教育基金会,27324886.47,2852750.99,12204928.38,2843625.21,4
南昌市青少年发展基金会,12643693.67,6514391.68,7740319.77,6514391.68,5
南航“十分”关爱基金会,92188383.8,17473354.9,24709284.42,17473151.9,6
南通市爱心帮困基金会,48801522.97,6077990.17,10231392.51,6077990.17,6
南通市老区扶贫基金会,180944231.4,10220170.61,21485510.87,19049667.86,2
南都公益基金会,310445814.4,93532471.91,88897493.9,92356490.19,0
厦门中山医院基金会,41966010.07,6455855.31,11127912.12,6898773.68,6
厦门外国语学校教育基金会,2397816.88,437462.9,2835279.78,437462.9,3
厦门观音寺慈善基金会,5712188.51,4445018.37,3556254.22,4445018.37,5
友成企业家扶贫基金会,568080580.7,126654685.5,143012846.3,126144467.1,6
台州市老年事业发展基金会,44382828.82,4909443.23,6121978.08,4909443.23,2
吉林大学教育基金会,507278592.5,64393906.55,280593045.4,64633021.6,4
吉林师范大学助学基金会,11581109.51,5473719.37,7030195.19,5473719.37,7
吉林省体育事业发展基金会,17895924.09,1247748.76,2230969.96,1247648.76,2
吉林省康乃尔公益基金会,3979414.89,2331083.5,3808391.16,2331083.5,1
吴作人国际美术基金会,37655076.55,7850562.32,8563072.06,7286228.72,6
吴江盛虹爱心基金会,6009442.5,2720109.35,1200816.57,2731459.97,0
吴阶平医学基金会,151408769,156335900.4,161897026.7,156335900.4,1
周培源基金会,40207695.91,3468865.19,7014910.72,3468865.19,6
呼伦贝尔市扶贫基金会,12409232.88,2854951.12,2879000,2854951.12,6
哈尔滨市老年基金会,30804452.65,6557538.19,8576208.36,6557538.19,6
哈尔滨师范大学教育发展基金会,31772132.5,2598014.46,3716671.31,2598014.46,2
四川喜马拉雅慈善基金会,8914092.74,498825.41,1313430.14,498825.41,2
四川成都蓝光助学基金会,7392956.39,5155391.89,3245447.61,5155391.89,9
四川桃花源生态保护基金会,220962077.6,19266830.5,59106241.64,19270463.9,6
四川电子科技大学教育发展基金会,214223808.7,66890180.91,88913934.62,66890180.91,0
四川省体育基金会,46733586.95,18068662.4,9244081.38,18068662.4,0
四川省国电大渡河爱心帮扶基金会,69108724.72,15123292.66,2332306.49,15123292.66,2
四川省志愿服务基金会,76490316.92,27943175.32,48219201.56,27945969.08,7
四川省索玛慈善基金会,9505312.37,8156534.87,14079813.61,8152363.94,1
四川省青年创业就业基金会,70528533.82,45142295.52,75062381.17,45187734.36,1
四川资阳五月阳光教育基金会,14997396.45,4003292.1,4744015.04,4003292.1,0
增爱公益基金会,351999844.9,36403010.95,109830611.6,36403010.95,6
大连市妇女儿童发展基金会,23948711.05,9537416.68,9830672.99,9537416.68,0
天津中国民航大学教育发展基金会,102574562.9,9867291.5,24543208.77,9867291.5,6
天津市人口福利基金会,16497033.91,3040273.98,3099291.36,3040273.98,6
天津市妇女儿童发展基金会,52157114.65,31029882.64,53696611.28,31029882.64,1
天津市宏志教育基金会,13368519.25,1175789.56,598765.53,1175789.56,2
天津市滨海社会救助基金会,6812077.12,1340173.4,1031486.93,1340173.4,6
天津市鹤童老年公益基金会,13351954.5,6012715.25,6021259.12,6012715.25,5
宁夏回族自治区关心下一代基金会,15023318.03,3214377.21,3638951.43,3214377.21,6
宁夏回族自治区扶贫基金会,120444333.9,29517603.9,128835393.6,30473256.02,3
宁夏煤炭职工扶贫济困基金会,26567558.22,12909672.81,13794054.08,12902625.29,5
宁夏青年创业就业基金会,11241982.48,863815.5,1449215.1,974239.58,2
