name,paiming,score,target
广东省利海绿色基金会,707,12.4,0
广东省绿景慈善基金会,291,53.6,1
宁夏煤炭职工扶贫济困基金会,348,49.6,1
宁夏回族自治区扶贫基金会,348,49.6,1
新疆妇女儿童发展基金会,1,100,2
广东省妇女儿童基金会,1,100,2
重庆孤残儿童援助基金会,149,70,1
广东省消防救助基金会,394,46.67,1
广东省千禾社区公益基金会,1,100,2
重庆市法律援助基金会,70,80,2
深圳市博时慈善基金会,304,52.8,1
广东省春桃慈善基金会,22,93.1,2
广东省卓越慈善基金会,364,48.8,1
重庆浙商爱心基金会,136,72,2
广州市羊城志愿服务基金会,229,58.8,1
广东省惠民慈善基金会,494,42.52,0
广东省广东外语外贸大学教育发展基金会,255,56.51,1
重庆市妇女儿童基金会,144,70.8,2
重庆宣传文化发展基金会,694,17.6,0
湖南省长郡未来基金会,654,25.6,0
湖南省文化艺术基金会,218,60.4,1
湖南弘慧教育发展基金会,1,100,2
湖南省长沙理工大学教育基金会,384,47.2,1
湖南飞翔公益基金会,364,48.8,1
湖南省中南林业科技大学教育基金会,232,58.4,1
湖南省扶贫基金会,242,57.22,1
湖南省青少年发展基金会,1,100,2
湖南省老龄事业发展基金会,364,48.8,1
湖南青年创业就业基金会,522,40.79,0
湖南省妇女儿童发展基金会,41,88.07,2
江西省革命老区爱心基金会,678,22.8,0
河南省宋庆龄基金会,222,60,1
中南财经政法大学教育发展基金会,25,91.6,2
武汉大学马克昌法学基金会,264,55.6,1
湖北省青年创业就业基金会,600,33.6,0
湖北省体育基金会,364,48.8,1
四川省国电大渡河爱心帮扶基金会,273,55.2,1
成都市老龄事业发展基金会,202,62.8,1
四川省青年创业就业基金会,33,89.6,2
四川电子科技大学教育发展基金会,85,77.6,2
云南省俊发教育扶贫基金会,210,61.6,1
云南大益爱心基金会,12,95.2,2
云南民族文化发展基金会,256,56.4,1
云南教育基金会,86,77.2,2
云南省绿色环境发展基金会,180,65.6,1
云南省青年创业就业基金会,24,92,2
云南省扶贫基金会,97,76.4,2
贵州省春晖行动发展基金会,232,58.4,1
贵州省贵阳市生态文明基金会,184,64.8,1
贵州省青年创业就业基金会,371,48.51,1
贵州文化薪火乡村发展基金会,4,98.8,2
北京中国石油大学教育基金会,32,90,2
中国经济改革研究基金会,92,76.73,2
北京康盟慈善基金会,36,88.92,2
浙江省人民教育基金会,87,77.19,2
浙江省李书福资助教育基金会,54,83.6,2
浙江千手慈善基金会,155,69.41,1
绍兴市柯桥区中厦慈善基金会,70,80,2
杭州市余杭区老年基金会,76,78.8,2
南通市老区扶贫基金会,521,40.8,0
四川省志愿服务基金会,218,60.4,1
河南足球事业发展基金会,197,63.2,1
芜湖市爱心助学基金会,336,50.4,1
安徽省青年创业就业基金会,608,32.39,0
北京民生文化艺术基金会,85,77.6,2
深圳市郑卫宁慈善基金会,1,100,2
海门文明村爱心基金会,415,45.77,1
北京利星行慈善基金会,702,14.4,0
广东省茂华慈善基金会,224,59.6,1
黄奕聪慈善基金会,1,100,2
上海恩德公益基金会,184,64.8,1
中国绿色碳汇基金会,72,79.6,2
江苏省美德基金会,500,42.13,0
上海民生艺术基金会,304,52.8,1
比亚迪慈善基金会,239,57.6,1
张家港市七里庙村利民基金会,635,28.19,0
北京中央民族大学教育基金会,137,71.96,2
神华公益基金会,48,85.6,2
宁夏青年创业就业基金会,681,22.4,0
福建省侨联事业发展基金会,348,49.6,1
浙江省阳光教育基金会,1,100,2
建德市老龄事业发展基金会,401,46.32,1
青岛市天泰公益基金会,348,49.6,1
山东省青年创业就业基金会,654,25.6,0
黑龙江省东北林业大学教育发展基金会,336,50.4,1
黑龙江省青年创业就业基金会,364,48.8,1
惠州市协和医疗救助基金会,720,6.4,0
广东省麦田教育基金会,1,100,2
北京京华公益事业基金会,1,100,2
福州市人口福利基金会,364,48.8,1
辽宁省青年创业基金会,348,49.6,1
四川成都蓝光助学基金会,336,50.4,1
晋江市陈埭民族中学教育基金会,364,48.8,1
湖北省妇女儿童发展基金会,160,68.8,1
河北省青年就业创业基金会,348,49.6,1
湖北省宜昌一中教育发展基金会,695,17.2,0
深圳壹基金公益基金会,1,100,2
北京百度公益基金会,68,80.4,2
泛海公益基金会,33,89.6,2
河仁慈善基金会,121,74,2
顶新公益基金会,25,91.6,2
广东省环球公益基金会,228,59.2,1
广东省华南农业大学教育发展基金会,300,53.12,1
上海慈慧公益基金会,1,100,2
厦门观音寺慈善基金会,364,48.8,1
北京瑞普华老年救助基金会,52,84.4,2
阿拉善生态基金会,186,64.4,1
长沙市志愿服务基金会,348,49.6,1
河南省儿童希望救助基金会,1,100,2
河南省光彩事业基金会,216,60.8,1
华中科技大学教育发展基金会,23,92.4,2
武汉理工大学教育发展基金会,86,77.2,2
长江大学教育发展基金会,184,64.8,1
